"family","capability","current_status","evidence_source","usable_for_real_work","realistic_tasks","limitations"
"orders","orders/list + detail + fund + logistics readonly slice","AVAILABLE_WITH_SAMPLE_SCOPE_LIMIT","route live evidence; stage26 evidence; stage27 evidence; stage30 freeze; matrix/docs cross-check","limited","日报; 周报草稿; 订单样本趋势摘要; 异常发现; 关键 route 巡检","当前页样本; 已读范围; 非多页全量聚合; fund/logistics 仅作 sample trade 覆盖信号"
"orders","orders minimal-diagnostic","AVAILABLE_AND_PASSED","stage28 evidence; route live evidence; stage30 freeze","yes","经营诊断素材; 运营摘要; 巡检辅助信号","sampled snapshot; 非全量经营驾驶舱"
"orders","orders report-style summary/trend/report-consumers production route","FROZEN_BY_REOPEN_GATE","matrix/docs cross-check; stage31 live 404 probe; stage30 freeze","no","受控重开待证据","当前 production 未绑定; stage31 不回头扩 route"
"products","products/list + detail + groups + score readonly slice","AVAILABLE_WITH_SAMPLE_SCOPE_LIMIT","route live evidence; stage26 evidence; stage27 evidence; stage30 freeze","limited","商品基础盘点; 详情抽样核查; 分组核查; 质量分抽样; 周报素材","当前页样本; 非多页全量聚合; 不输出全量商品贡献"
"categories","categories/tree + attributes","AVAILABLE_AND_PASSED","stage28 evidence; route live evidence; matrix/docs cross-check","yes","类目树核查; 类目属性核查; 商品基础治理素材","只做元信息核查"
"schema","products/schema + schema/render","AVAILABLE_AND_PASSED","stage28 evidence; route live evidence","limited","结构化属性核查; 产品信息完整性辅助判断","只读契约; 不进入写侧草稿生成"
"schema","products/schema/render/draft","AVAILABLE_NO_DATA","stage28 evidence; matrix/docs cross-check","no","状态登记","当前租户样本下无有效业务载荷"
"media","media/list + groups","AVAILABLE_AND_PASSED","stage28 evidence; route live evidence","yes","媒体素材存在性核查; 媒体基础盘点","仅限只读素材与分组信息"
"customers","customers/list","TENANT_OR_PRODUCT_RESTRICTION_CONFIRMED","stage28 evidence; stage30 freeze; matrix/docs cross-check","no","受控重开待证据","对象级 restriction confirmed; 不是权限未申请"
"mydata","overview.date + self.product.date","AVAILABLE_AND_PASSED","direct-method live evidence; stage26 evidence; stage30 freeze","limited","时间窗口校验; 日报/周报时间轴辅助; 经营诊断素材","不等于完整经营分析; 仍受样本与对象范围限制"
"mydata","overview.industry + indicator.basic + self.product","AVAILABLE_NO_DATA","stage26 evidence; stage30 freeze","limited","无载荷事实登记","读通但无可复用业务载荷"
"mydata","keyword family + seller.trade.decode + opendata restriction set","TENANT_OR_PRODUCT_RESTRICTION_CONFIRMED","stage29 evidence; stage30 freeze; reopen gate","no","受控重开待证据","继续重试不会新增仓内证据"
"reports","文件化日报 / 周报生成资产","AVAILABLE_AND_PASSED","stage31 report generator; weekly report evidence; stage30 freeze","yes","日报; 周报; 业务侧摘要草稿","基于 safe-scope 证据降级输出"
"diagnostics","products/orders/operations minimal-diagnostic","AVAILABLE_AND_PASSED","stage28 evidence; route live evidence; stage30 freeze","yes","经营诊断素材; 运营摘要; 巡检辅助说明","sampled snapshot; 非全量经营诊断"
"tools / draft-adjacent","reply-draft + order-draft","WRITE_ADJACENT_SKIPPED","stage28 evidence; stage30 freeze","no","无","明显 write-adjacent; 不在 safe-scope 内"
"governance","reopen gate","FROZEN_BY_REOPEN_GATE","stage30 freeze; stage31 productization evidence","limited","restriction 对象重开判断; 维护口径统一","只有外部新证据才能重开"
